YY,DD,MM,Kick-off,Date of the game,,Country,League,Seasons,ToG,Teams ,,Teams ID,,FT +OT Scores,,,,,,Draw,,,1 q ,,,OT Money Line,,OT Money Line,,OT Money Line,
,,,,GMT (UTC +0),PST (UTC -8),,,,,Home,Away,H,A,H,A,W,215.5,AH,TG,,H,A,H,A,R,matchbook,,pinnacle,,bet365,
,,,,,,,,,,,,,,,,,,,,,,,,,,H,A,H,A,H,A
2019,17,Apr,1:00,4/17/2019 1:00,4/16/2019 17:00,USA,NBA,2018/2019,Play Offs,Denver Nuggets,San Antonio Spurs,DEN,SAS,114,105,H,O,9,219,,,,21,26,A,1.36,2.85,1.42,3.14,1.40,3.05
2019,17,Apr,0:00,4/17/2019 0:00,4/16/2019 16:00,USA,NBA,2018/2019,Play Offs,Toronto Raptors,Orlando Magic,TOR,ORL,111,82,H,U,29,193,,,,26,18,H,1.22,5.10,1.21,5.00,1.20,4.75
2019,16,Apr,2:30,4/16/2019 2:30,4/15/2019 18:30,USA,NBA,2018/2019,Play Offs,Golden State Warriors,Los Angeles Clippers,GSW,LAC,131,135,A,O,4,266,,,,33,25,H,1.08,10.60,1.08,10.16,1.06,10.50
2019,16,Apr,0:00,4/16/2019 0:00,4/15/2019 16:00,USA,NBA,2018/2019,Play Offs,Philadelphia 76ers,Brooklyn Nets,PHI,BKN,145,123,H,O,22,268,,,,34,28,H,1.30,3.98,1.31,3.81,1.31,3.60
2019,15,Apr,1:30,4/15/2019 1:30,4/14/2019 17:30,USA,NBA,2018/2019,Play Offs,Houston Rockets,Utah Jazz,HOU,UTA,122,90,H,U,32,212,,,,31,24,H,1.35,2.76,1.41,3.19,1.38,3.15
2019,14,Apr,23:00,4/14/2019 23:00,4/14/2019 15:00,USA,NBA,2018/2019,Play Offs,Milwaukee Bucks,Detroit Pistons,MIL,DET,121,86,H,U,35,207,,,,38,18,H,1.11,8.60,1.11,8.36,1.10,7.50
2019,14,Apr,19:30,4/14/2019 19:30,4/14/2019 11:30,USA,NBA,2018/2019,Play Offs,Portland Trail Blazers,Oklahoma City Thunder,POR,OKC,104,99,H,U,5,203,,,,39,25,H,1.59,2.22,1.68,2.33,1.66,2.30
2019,14,Apr,17:00,4/14/2019 17:00,4/14/2019 9:00,USA,NBA,2018/2019,Play Offs,Boston Celtics,Indiana Pacers,BOS,IND,84,74,H,U,10,158,,,,20,20,D,1.27,3.10,1.36,3.44,1.32,3.45
2019,14,Apr,2:30,4/14/2019 2:30,4/13/2019 18:30,USA,NBA,2018/2019,Play Offs,Denver Nuggets,San Antonio Spurs,DEN,SAS,96,101,A,U,5,197,,,,20,25,A,1.38,2.62,1.48,2.86,1.44,2.85
2019,14,Apr,0:00,4/14/2019 0:00,4/13/2019 16:00,USA,NBA,2018/2019,Play Offs,Golden State Warriors,Los Angeles Clippers,GSW,LAC,121,104,H,O,17,225,,,,36,27,H,1.11,8.60,1.11,8.36,1.09,8.00
